Portfolio_ID,Client_ID,Risk_Level,Portfolio_Value_USD,Client_Segment,Stress_Loss,Daily_Return,Daily_PnL,Scenario
5522,1102.0,Medium,534591.99,Retail,80188.79849999999,0.006660569836134792,3560.6872832332724,Stress Market
5619,1435.0,Medium,157662.4,Institutional,23649.359999999997,-0.0009591716140542159,-151.2252986836614,Stress Market
5924,1860.0,Low,81430.5,Retail,4071.525,0.0036384426905034625,296.2802075090422,Stress Market
5262,1270.0,High,205610.76,HNI,51402.69,0.03146059712816051,6468.6372855749005,Stress Market
5873,1106.0,Low,137493.50999999998,Institutional,6874.675499999999,-0.0007707668736166799,-105.9754428452837,Stress Market
5602,1071.0,Medium,877245.0,Retail,131586.75,-0.0021096434833901665,-1850.6741975866066,Stress Market
5155,1700.0,Medium,23804.33,Institutional,3570.6495,0.0196505537860887,467.7682670068048,Stress Market
5915,1020.0,High,161658.9,Retail,40414.725,0.016348694583058175,2642.9119827331433,Stress Market
5952,1614.0,High,417761.16,HNI,104440.29,-0.008389487718699042,-3504.8021211694654,Stress Market
5141,1121.0,High,231678.54,Retail,57919.635,0.011851200871719293,2745.6689152066533,Stress Market
5363,1466.0,High,52901.8,HNI,13225.45,-0.008268353856249246,-437.41080203252636,Stress Market
5169,1214.0,High,0.0,Retail,0.0,-0.008314595071405138,-0.0,Stress Market
5031,1330.0,Medium,619201.44,HNI,92880.21599999999,0.0036035472587924093,2231.3216517523124,Stress Market
5528,1458.0,Low,279587.08,HNI,13979.354000000001,-0.009166401223288989,-2562.8073521277965,Stress Market
5428,1087.0,Low,415190.4,HNI,20759.520000000004,-0.008224589162565164,-3414.7704642410954,Stress Market
5795,1372.0,High,381430.84,Retail,95357.71,-0.010245750584819455,-3908.045251998176,Stress Market
5983,1099.0,Low,84646.73999999999,Institutional,4232.3369999999995,-0.004664155601672119,-394.8055665342834,Stress Market
5970,1871.0,Low,16626.559999999998,Institutional,831.328,0.0019712366629763695,32.77488465117638,Stress Market
5429,1663.0,High,625713.66,Institutional,156428.415,-0.017160481510424222,-10737.54769324987,Stress Market
5348,1130.0,High,194340.77,HNI,48585.1925,-0.027246074026705834,-5295.023005827012,Stress Market
5664,1661.0,High,139629.6,Retail,34907.4,0.03031297537843108,4232.58862690018,Stress Market
5598,1308.0,High,802345.92,Institutional,200586.48,-0.0035155260097307134,-2820.6679505613183,Stress Market
5442,1769.0,High,55606.32,HNI,13901.58,0.002350564093758477,130.70621917804388,Stress Market
5301,1343.0,Medium,55678.86,Institutional,8351.829,-0.01639697823456148,-912.9650555451958,Stress Market
